unix_time,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z,rot_x,rot_y,rot_z,mag_x,mag_y,mag_z,lat,lng,bearing,speed,alt,err_lat,err_lng,pressure,station,run,walk,auto,cycling,unknown,
46329552.3002083,0.0643005371,-0.8662872314,-0.5476684570,,,,,,,,,,,,,,,,,,,,,,,,
46329578.6582083,,,,,0.0278649208,0.0332213367,0.0293935753,,,,,,,,,,,,,,,,,,,,
46329.5786000833,,,,,,,,,,,-103.2590484619,-124.1126556396,234.7666625977,,,,,,,,,,,,,,
46329657.37025,0.0699157715,-0.9149932861,-0.4494171143,,,,,,,,,,,,,,,,,,,,,,,,
46329679.1165833,,,,,0.1768368259,0.3932807161,-0.0954370408,,,,,,,,,,,,,,,,,,,,
46329.6790751667,,,,,,,,,,,-103.4272155762,-123.6081390381,234.9301452637,,,,,,,,,,,,,,
46329762.670375,0.0764617920,-0.9523162842,-0.5477600098,,,,,,,,,,,,,,,,,,,,,,,,
46329780.326375,,,,,-0.1440296107,-0.0556539415,-0.0688850584,,,,,,,,,,,,,,,,,,,,
46329.7801083333,,,,,,,,,,,-104.4362640381,-123.6081390381,234.9301452637,,,,,,,,,,,,,,
46329867.9313333,0.0660095215,-0.8559112549,-0.4598541260,,,,,,,,,,,,,,,,,,,,,,,,
46329881.2326667,,,,,0.1362731540,-0.0800434371,-0.0800495624,,,,,,,,,,,,,,,,,,,,
46329.8811467083,,,,,,,,,,,-103.9317474365,-122.7672729492,233.4587707520,,,,,,,,,,,,,,
46329972.6750833,0.0024108887,-0.8791656494,-0.5177612305,,,,,,,,,,,,,,,,,,,,,,,,
46329982.2805,,,,,-0.1898173393,-0.0695479192,-0.0946159883,,,,,,,,,,,,,,,,,,,,
46329.9821951667,,,,,,,,,,,-102.5863494873,-121.7582244873,231.1699676514,,,,,,,,,,,,,,
46330078.094,0.0851898193,-0.8548278809,-0.4512329102,,,,,,,,,,,,,,,,,,,,,,,,
46330083.391625,,,,,0.0582867426,-0.0159568623,0.0410046913,,,,,,,,,,,,,,,,,,,,
46330.083310375,,,,,,,,,,,-99.7273864746,-122.5990905762,228.0637207031,,,,,,,,,,,,,,
46330183.3785417,0.0661163330,-0.9515228271,-0.6500244141,,,,,,,,,,,,,,,,,,,,,,,,
46330184.4182917,,,,,-0.1571765717,-0.0289933022,-0.1597981875,,,,,,,,,,,,,,,,,,,,
46330.1834435417,,,,,,,,,,,-99.7273864746,-123.9444885254,227.0827941895,,,,,,,,,,,,,,
46330284.5818333,,,,,0.0502325445,0.0361641297,0.0186224202,,,,,,,,,,,,,,,,,,,,
46330288.6837917,0.0716857910,-0.8267211914,-0.4684906006,,,,,,,,,,,,,,,,,,,,,,,,
46330.2844920833,,,,,,,,,,,-98.2138214111,-126.8034515381,227.9002227783,,,,,,,,,,,,,,
1451522724999.89,,,,,,,,,,,,,,52.4930997798708,13.3854581415778,118.4765625,3.33999991416931,36.866455078125,10.0,3.0,,,,,,,
46330385.592875,,,,,-0.0228709611,-0.0217284650,0.0024919198,,,,,,,,,,,,,,,,,,,,
46330392.653125,0.0568237305,-0.9210357666,-0.5348510742,,,,,,,,,,,,,,,,,,,,,,,,
46330.3855212083,,,,,,,,,,,-98.0456390381,-127.6443176270,227.4097747803,,,,,,,,,,,,,,
46330486.656875,,,,,0.0044613275,-0.0200682504,-0.0165832378,,,,,,,,,,,,,,,,,,,,
46330.4865620417,,,,,,,,,,,-98.8865051270,-127.8125000000,229.8620605469,,,,,,,,,,,,,,
46330497.198875,0.0473937988,-0.9168395996,-0.4990539551,,,,,,,,,,,,,,,,,,,,,,,,
46330587.7400417,,,,,0.0669510709,-0.1171173026,-0.0347356101,,,,,,,,,,,,,,,,,,,,
46330.5876498333,,,,,,,,,,,-99.0546875000,-126.6352691650,227.7367401123,,,,,,,,,,,,,,
46330602.2264583,0.0269622803,-0.8734893799,-0.5233764648,,,,,,,,,,,,,,,,,,,,,,,,
46330688.7950417,,,,,0.0284183257,-0.0576049733,0.0683494967,,,,,,,,,,,,,,,,,,,,
46330.6887016667,,,,,,,,,,,-97.3729400635,-129.9987640381,224.4670104980,,,,,,,,,,,,,,
46330707.2637083,0.0697937012,-0.7003479004,-0.4957122803,,,,,,,,,,,,,,,,,,,,,,,,
46330789.2468333,,,,,-0.4383078459,0.2676729896,0.0512384204,,,,,,,,,,,,,,,,,,,,
