unix_time,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z,rot_x,rot_y,rot_z,mag_x,mag_y,mag_z,lat,lng,bearing,speed,alt,err_lat,err_lng,pressure,station,run,walk,auto,cycling,unknown
162064272.013083,,,,,0.1104162567,-0.3275784015,0.1670039025,,,,,,,,,,,,,,,,,,,,
162064.268549583,,,,,,,,,,,-54.6566619873,-8.5769042969,377.4904174805,,,,,,,,,,,,,,
162064312.794,0.3005218506,-0.4569091797,-0.8486785889,,,,,,,,,,,,,,,,,,,,,,,,
162064373.05275,,,,,0.2001549317,-0.5715039836,0.1793457899,,,,,,,,,,,,,,,,,,,,
162064.369592958,,,,,,,,,,,-55.8338775635,-9.7541198730,375.0381164551,,,,,,,,,,,,,,
162064418.011875,0.2003784180,-0.5004119873,-0.8465423584,,,,,,,,,,,,,,,,,,,,,,,,
162064474.093625,,,,,0.1126501162,-0.3822821271,0.0062280685,,,,,,,,,,,,,,,,,,,,
162064.470635833,,,,,,,,,,,-56.3384094238,-9.2495880127,373.2397460938,,,,,,,,,,,,,,
162064523.202208,0.2107086182,-0.4826965332,-0.8782196045,,,,,,,,,,,,,,,,,,,,,,,,
162064575.130375,,,,,0.0702509938,-0.0883881861,0.1070838432,,,,,,,,,,,,,,,,,,,,
162064.571672583,,,,,,,,,,,-57.1792755127,-9.4177703857,373.7302246094,,,,,,,,,,,,,,
162064628.455208,0.2177429199,-0.5055694580,-0.8555145264,,,,,,,,,,,,,,,,,,,,,,,,
162064676.166875,,,,,0.0139496378,0.0833263158,-0.0331382461,,,,,,,,,,,,,,,,,,,,
162064.672709083,,,,,,,,,,,-57.6838073730,-9.5859375000,373.2397460938,,,,,,,,,,,,,,
162064733.711042,0.2234497070,-0.4881286621,-0.8549499512,,,,,,,,,,,,,,,,,,,,,,,,
162064777.207333,,,,,0.0076842850,0.0457477812,-0.0130257872,,,,,,,,,,,,,,,,,,,,
162064.773748542,,,,,,,,,,,-57.0111083984,-10.5949859619,372.9127807617,,,,,,,,,,,,,,
162064838.7335,0.2291717529,-0.4938659668,-0.8471374512,,,,,,,,,,,,,,,,,,,,,,,,
162064878.248417,,,,,-0.0133094139,-0.0006732471,-0.0294673448,,,,,,,,,,,,,,,,,,,,
162064.874788125,,,,,,,,,,,-57.1792755127,-9.7541198730,372.7492980957,,,,,,,,,,,,,,
1451923540001.56,,,,,,,,,,,,,,52.3942950368415,13.1323122605804,225.3515625,0.0,37.4236450195312,5.0,8.0,,,,,,,
162064943.953875,0.2216186523,-0.4990234375,-0.8649749756,,,,,,,,,,,,,,,,,,,,,,,,
162064979.2865,,,,,0.1018571233,-0.1793921289,-0.0184301400,,,,,,,,,,,,,,,,,,,,
162064.975831,,,,,,,,,,,-56.5065765381,-11.4358673096,373.7302246094,,,,,,,,,,,,,,
162065049.152458,0.1797332764,-0.5365295410,-0.8714294434,,,,,,,,,,,,,,,,,,,,,,,,
162065080.322792,,,,,0.3713330729,-0.6018752053,-0.1857259249,,,,,,,,,,,,,,,,,,,,
162065.07687225,,,,,,,,,,,-58.0201568604,-9.5859375000,371.6049194336,,,,,,,,,,,,,,
162065154.426042,0.1396942139,-0.5325927734,-0.8788757324,,,,,,,,,,,,,,,,,,,,,,,,
162065181.363125,,,,,0.8270966082,-0.8322290522,0.0040514670,,,,,,,,,,,,,,,,,,,,
162065.177909167,,,,,,,,,,,-60.3745880127,-12.2767333984,368.3351745605,,,,,,,,,,,,,,
162065259.623625,0.0173950195,-0.6166534424,-0.8034362793,,,,,,,,,,,,,,,,,,,,,,,,
162065282.404458,,,,,1.0192351587,-0.4849464545,0.3777089469,,,,,,,,,,,,,,,,,,,,
162065.278947583,,,,,,,,,,,-62.5608520508,-15.1356964111,365.8828735352,,,,,,,,,,,,,,
162065364.848375,-0.1331481934,-0.6901550293,-0.6815338135,,,,,,,,,,,,,,,,,,,,,,,,
162065383.440958,,,,,0.4314086608,-0.2533185513,0.2159149864,,,,,,,,,,,,,,,,,,,,
162065.37998525,,,,,,,,,,,-65.0834655762,-17.3219604492,364.4114990234,,,,,,,,,,,,,,
162065470.040667,-0.0283508301,-0.6792602539,-0.7174835205,,,,,,,,,,,,,,,,,,,,,,,,
162065484.477875,,,,,0.1981040314,-0.1570735074,0.1795535165,,,,,,,,,,,,,,,,,,,,
162065.48102725,,,,,,,,,,,-65.4198150635,-17.6583099365,365.3923950195,,,,,,,,,,,,,,
162065575.317042,-0.0587463379,-0.7096405029,-0.6543426514,,,,,,,,,,,,,,,,,,,,,,,,
162065585.513042,,,,,-0.0125964856,-0.2178846604,0.1075245964,,,,,,,,,,,,,,,,,,,,
162065.582064417,,,,,,,,,,,-64.9152984619,-18.1628417969,365.2289428711,,,,,,,,,,,,,,
162065680.018917,0.0002899170,-0.6868286133,-0.5803070068,,,,,,,,,,,,,,,,,,,,,,,,
162065686.548625,,,,,-0.1230646740,-0.1948741496,-0.1352632833,,,,,,,,,,,,,,,,,,,,
162065.683102042,,,,,,,,,,,-65.9243469238,-18.1628417969,366.8637695312,,,,,,,,,,,,,,
162065785.312167,-0.0541992188,-0.6894989014,-0.7228240967,,,,,,,,,,,,,,,,,,,,,,,,
162065787.6015,,,,,-0.0031955270,0.0142471129,-0.0070653664,,,,,,,,,,,,,,,,,,,,
162065.784144208,,,,,,,,,,,-65.7561645508,-18.3310089111,365.3923950195,,,,,,,,,,,,,,
162065888.641458,,,,,-0.1691789061,0.0857673692,-0.2140379905,,,,,,,,,,,,,,,,,,,,
162065890.5225,-0.0247344971,-0.7003936768,-0.6850738525,,,,,,,,,,,,,,,,,,,,,,,,
162065.885189167,,,,,,,,,,,-65.5879974365,-17.4901428223,364.9019470215,,,,,,,,,,,,,,
1451923540994.12,,,,,,,,,,,,,,52.3942950368415,13.1323122605804,225.3515625,0.0,38.5283203125,10.0,12.0,,,,,,,
162065989.675333,,,,,-0.3894971631,0.0572491750,-0.0661627752,,,,,,,,,,,,,,,,,,,,
162065.98621775,,,,,,,,,,,-63.7380828857,-16.3129119873,365.0654296875,,,,,,,,,,,,,,
162065995.7925,-0.0765686035,-0.6594390869,-0.7652130127,,,,,,,,,,,,,,,,,,,,,,,,
162066090.711458,,,,,-0.1002046318,0.0066762785,-0.0703034580,,,,,,,,,,,,,,,,,,,,
162066.087255833,,,,,,,,,,,-65.4198150635,-16.6492614746,365.7193603516,,,,,,,,,,,,,,
162066100.601,-0.0692901611,-0.6495971680,-0.7604217529,,,,,,,,,,,,,,,,,,,,,,,,
162066191.748542,,,,,-0.1406074487,0.0183715505,-0.0594156566,,,,,,,,,,,,,,,,,,,,
162066.188293875,,,,,,,,,,,-64.7471160889,-15.9765625000,366.7003173828,,,,,,,,,,,,,,
162066205.856042,-0.0816192627,-0.6399536133,-0.7376403809,,,,,,,,,,,,,,,,,,,,,,,,
162066292.122542,,,,,-0.2175016978,0.0591565310,-0.0022003037,,,,,,,,,,,,,,,,,,,,
162066.289331667,,,,,,,,,,,-64.9152984619,-14.7993469238,366.8637695312,,,,,,,,,,,,,,
162066310.565125,-0.1079864502,-0.6278228760,-0.7924652100,,,,,,,,,,,,,,,,,,,,,,,,
162066393.158667,,,,,-0.1081634887,0.0716022817,-0.0595871641,,,,,,,,,,,,,,,,,,,,
162066.39037075,,,,,,,,,,,-64.0744323730,-15.9765625000,364.7384643555,,,,,,,,,,,,,,
162066415.861542,-0.0384826660,-0.6092224121,-0.7641754150,,,,,,,,,,,,,,,,,,,,,,,,
162066494.200125,,,,,-0.0945347618,0.1217235060,-0.0336447793,,,,,,,,,,,,,,,,,,,,
162066.491408917,,,,,,,,,,,-65.9243469238,-14.7993469238,366.5368041992,,,,,,,,,,,,,,
162066521.101333,-0.0767974854,-0.5952606201,-0.7860717773,,,,,,,,,,,,,,,,,,,,,,,,
162066595.2405,,,,,-0.0066083679,0.0109940616,-0.0495941848,,,,,,,,,,,,,,,,,,,,
162066.59202525,,,,,,,,,,,-64.4107818604,-14.2948303223,367.3542480469,,,,,,,,,,,,,,
162066626.320167,-0.0826721191,-0.6062316895,-0.8292999268,,,,,,,,,,,,,,,,,,,,,,,,
162066696.276042,,,,,0.2547515983,0.0588497348,-0.0369723991,,,,,,,,,,,,,,,,,,,,
162066.693061583,,,,,,,,,,,-65.4198150635,-14.2948303223,366.3733520508,,,,,,,,,,,,,,
162066731.519083,-0.0733337402,-0.6271057129,-0.7627105713,,,,,,,,,,,,,,,,,,,,,,,,
162066797.316792,,,,,0.1705696089,0.1752983177,-0.0068605693,,,,,,,,,,,,,,,,,,,,
162066.794126875,,,,,,,,,,,-63.9062500000,-15.1356964111,364.5749816895,,,,,,,,,,,,,,
162066836.291167,-0.0450286865,-0.6352539062,-0.7405853271,,,,,,,,,,,,,,,,,,,,,,,,
162066898.353208,,,,,0.1199157523,0.0815188283,-0.0385085104,,,,,,,,,,,,,,,,,,,,
162066.895164208,,,,,,,,,,,-64.5789489746,-15.1356964111,365.5559082031,,,,,,,,,,,,,,
1451923542000.33,,,,,,,,,,,,,,52.3943444481607,13.1324109993997,225.3515625,0.0,39.5679321289062,10.0,12.0,,,,,,,
162066941.591417,-0.0556335449,-0.6415863037,-0.7551269531,,,,,,,,,,,,,,,,,,,,,,,,
162066999.39,,,,,0.0034922031,0.0589727729,-0.0496328006,,,,,,,,,,,,,,,,,,,,
162066.996201667,,,,,,,,,,,-64.2425994873,-16.1447448730,363.9210205078,,,,,,,,,,,,,,
